[29Mar2025 00:08:47.818] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: DMONIO1698 has made the advancement [An Ear-Shattering Roar]
[29Mar2025 00:24:38.395] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: CloggedTerror10 has made the advancement [An Ear-Shattering Roar]
[29Mar2025 00:26:11.094] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: CloggedTerror10 withered away
[29Mar2025 00:26:11.195] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: DMONIO1698 was struck by lightning
[29Mar2025 00:26:17.519] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [CloggedTerror10: Teleported CloggedTerror10 to 275.500000, 109.500000, -2079.500000]
[29Mar2025 00:42:08.164] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [CloggedTerror10: Teleported CloggedTerror10 to -7774.500000, 70.500000, -8564.500000]
[29Mar2025 00:42:28.757] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [CloggedTerror10: Teleported CloggedTerror10 to 280.500000, 109.500000, -2085.500000]
[29Mar2025 00:59:24.345] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: DMONIO1698 was killed by CloggedTerror10 using magic
[29Mar2025 01:05:36.645] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: DMONIO1698 has made the advancement [Magery]
[29Mar2025 01:11:40.066] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [CloggedTerror10: Teleported CloggedTerror10 to 280.500000, 109.500000, -2085.500000]
[29Mar2025 01:11:50.556] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [CloggedTerror10: Teleported CloggedTerror10 to 280.500000, 109.500000, -2085.500000]
[29Mar2025 01:11:54.036] [Server thread/WARN] [net.minecraft.network.syncher.SynchedEntityData/]: defineId called for: class com.cerbon.bosses_of_mass_destruction.entity.util.BaseEntity from class com.cerbon.bosses_of_mass_destruction.entity.custom.void_blossom.hitbox.NetworkedHitboxManager
[29Mar2025 01:19:00.009] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [CloggedTerror10: Teleported CloggedTerror10 to 280.500000, 109.500000, -2085.500000]
[29Mar2025 01:32:28.056] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=117, y=63, z=-206} BlockPos{x=119, y=59, z=-208}
[29Mar2025 01:32:28.103] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=117, y=63, z=-206} BlockPos{x=119, y=59, z=-208}
[29Mar2025 01:32:28.156] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=117, y=63, z=-206} BlockPos{x=119, y=59, z=-208}
[29Mar2025 01:32:28.205] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=117, y=63, z=-206} BlockPos{x=119, y=59, z=-208}
[29Mar2025 01:32:28.255] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=117, y=63, z=-206} BlockPos{x=119, y=59, z=-208}
[29Mar2025 01:32:28.303] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=117, y=63, z=-206} BlockPos{x=119, y=59, z=-208}
[29Mar2025 01:32:28.356] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=117, y=63, z=-206} BlockPos{x=119, y=59, z=-208}
[29Mar2025 01:32:28.404] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=117, y=63, z=-206} BlockPos{x=119, y=59, z=-208}
[29Mar2025 01:32:28.456] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=117, y=63, z=-206} BlockPos{x=119, y=59, z=-208}
[29Mar2025 01:32:28.507] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=117, y=63, z=-206} BlockPos{x=119, y=59, z=-208}
[29Mar2025 01:32:28.556] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=117, y=63, z=-206} BlockPos{x=119, y=59, z=-208}
[29Mar2025 01:32:28.605] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=117, y=63, z=-206} BlockPos{x=119, y=59, z=-208}
[29Mar2025 01:32:28.654] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=117, y=63, z=-206} BlockPos{x=119, y=59, z=-208}
[29Mar2025 01:32:28.711] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=117, y=63, z=-206} BlockPos{x=119, y=59, z=-208}
